TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;23/06/06
TIME;15:56:36
SPECTROMETER/DATA SYSTEM;
LOCALE;3082
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;TRANSMITTANCE
FIRSTX;  399,1927
LASTX; 5000,5148
NPOINTS;    4773
FIRSTY;    48,61410
MAXY;    72,65867
MINY;     0,83864
XYDATA
399,1927;48,6141
400,1569;47,9557
401,1211;48,2715
402,0854;49,3725
403,0496;50,7727
404,0138;51,9046
404,9781;52,3909
405,9423;52,2794
406,9065;52,0136
407,8708;52,0676
408,8350;52,5576
409,7992;53,198
410,7635;53,6168
411,7277;53,722
412,6919;53,7852
413,6562;54,1934
414,6204;55,1539
415,5846;56,5977
416,5489;58,2436
417,5131;59,6935
418,4773;60,5742
419,4416;60,7944
420,4058;60,6434
421,3700;60,4613
422,3343;60,3675
423,2985;60,3392
424,2627;60,3493
425,2270;60,4152
426,1912;60,5858
427,1554;60,9048
428,1197;61,3666
429,0839;61,884
430,0481;62,2958
431,0124;62,4348
431,9766;62,2305
432,9408;61,7636
433,9051;61,2077
434,8693;60,7008
435,8335;60,2704
436,7978;59,8799
437,7620;59,5336
438,7262;59,3077
439,6905;59,2694
440,6547;59,3683
441,6189;59,4195
442,5832;59,2296
443,5474;58,7805
444,5116;58,2783
445,4759;57,9693
446,4401;57,9062
447,4043;57,9161
448,3686;57,7864
449,3328;57,4718
450,2970;57,137
451,2613;57,0012
452,2255;57,1281
453,1897;57,3674
454,1540;57,5083
455,1182;57,4874
456,0824;57,4514
457,0467;57,6087
458,0109;57,9863
458,9751;58,3606
459,9394;58,4958
460,9036;58,4105
461,8678;58,351
462,8321;58,558
463,7963;59,0812
464,7605;59,7614
465,7248;60,3694
466,6890;60,787
467,6532;61,0717
468,6175;61,3619
469,5817;61,7309
470,5459;62,1217
471,5102;62,4025
472,4744;62,4841
473,4386;62,3953
474,4029;62,2486
475,3671;62,1511
476,3313;62,1538
477,2956;62,2547
478,2598;62,4179
479,2240;62,5924
480,1883;62,7338
481,1525;62,8218
482,1167;62,8539
483,0810;62,8117
484,0452;62,6404
485,0094;62,2826
485,9737;61,7467
486,9379;61,1291
487,9021;60,546
488,8664;60,0387
489,8306;59,5497
490,7948;59,0015
491,7591;58,4153
492,7233;57,9428
493,6875;57,745
494,6518;57,8197
495,6160;57,9645
496,5802;57,9237
497,5445;57,5857
498,5087;57,054
499,4729;56,5432
500,4372;56,1955
501,4014;55,9797
502,3656;55,7675
503,3299;55,5064
504,2941;55,2889
505,2583;55,2391
506,2226;55,3577
507,1868;55,4991
508,1510;55,5028
509,1153;55,3398
510,0795;55,1277
511,0437;55,0014
512,0080;54,9858
512,9722;55,0004
513,9365;54,9718
514,9007;54,9262
515,8649;54,9685
516,8292;55,1716
517,7934;55,4914
518,7576;55,808
519,7219;56,0504
520,6861;56,2505
521,6503;56,4694
522,6146;56,7081
523,5788;56,9052
524,5430;57,0051
525,5073;57,0116
526,4715;56,9528
527,4357;56,7977
528,4000;56,4494
529,3642;55,8571
530,3284;55,1193
531,2927;54,4501
532,2569;54,0154
533,2211;53,7796
534,1854;53,5241
535,1496;53,054
536,1138;52,3978
537,0781;51,7863
538,0423;51,418
539,0065;51,2484
539,9708;51,0254
540,9350;50,5411
541,8992;49,8439
542,8635;49,194
543,8277;48,8077
544,7919;48,6483
545,7562;48,4781
546,7204;48,1244
547,6846;47,6789
548,6489;47,4091
549,6131;47,4681
550,5773;47,7221
551,5416;47,8804
552,5058;47,7887
553,4700;47,5838
554,4343;47,5531
555,3985;47,8417
556,3627;48,3046
557,3270;48,6572
558,2912;48,7678
559,2554;48,7895
560,2197;49,0015
561,1839;49,528
562,1481;50,2171
563,1124;50,7933
564,0766;51,1228
565,0408;51,3313
566,0051;51,6706
566,9693;52,279
567,9335;53,0643
568,8978;53,8108
569,8620;54,3917
570,8262;54,8689
571,7905;55,396
572,7547;56,0484
573,7189;56,747
574,6832;57,3278
575,6474;57,6767
576,6116;57,8101
577,5759;57,8421
578,5401;57,8863
579,5043;57,9854
580,4686;58,11
581,4328;58,1974
582,3970;58,191
583,3613;58,0643
584,3255;57,8329
585,2897;57,5457
586,2540;57,2499
587,2182;56,9458
588,1824;56,5753
589,1467;56,0668
590,1109;55,4068
591,0751;54,6695
592,0394;53,9606
593,0036;53,3147
593,9678;52,6524
594,9321;51,8576
595,8963;50,8994
596,8605;49,8725
597,8248;48,9151
598,7890;48,0784
599,7532;47,2747
600,7175;46,3642
601,6817;45,3033
602,6459;44,2002
603,6102;43,2156
604,5744;42,4094
605,5386;41,6848
606,5029;40,8844
607,4671;39,9439
608,4313;38,951
609,3956;38,052
610,3598;37,2963
611,3240;36,5713
612,2883;35,6879
613,2525;34,5342
614,2167;33,162
615,1810;31,7429
616,1452;30,4501
617,1094;29,3664
618,0737;28,4803
619,0379;27,7439
620,0021;27,1223
620,9664;26,5978
621,9306;26,1539
622,8948;25,776
623,8591;25,476
624,8233;25,3123
625,7875;25,3779
626,7518;25,7625
627,7160;26,5132
628,6802;27,6141
629,6445;28,9821
630,6087;30,4765
631,5729;31,9323
632,5372;33,2196
633,5014;34,3034
634,4656;35,2519
635,4299;36,1696
636,3941;37,1005
637,3583;37,9916
638,3226;38,7537
639,2868;39,3632
640,2510;39,899
641,2153;40,4708
642,1795;41,1017
643,1437;41,6866
644,1080;42,0823
645,0722;42,2518
646,0364;42,3171
647,0007;42,4602
647,9649;42,7539
648,9291;43,0845
649,8934;43,2509
650,8576;43,1535
651,8218;42,8875
652,7861;42,6508
653,7503;42,5606
654,7145;42,5577
