TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;23/06/01
TIME;16:53:05
SPECTROMETER/DATA SYSTEM;
LOCALE;3082
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;TRANSMITTANCE
FIRSTX;  399,1927
LASTX; 5000,5148
NPOINTS;    4773
FIRSTY;    49,83858
MAXY;    71,38714
MINY;     1,18533
XYDATA
399,1927;49,8386
400,1569;51,0642
401,1211;52,0124
402,0854;52,4636
403,0496;52,6467
404,0138;52,9584
404,9781;53,6512
405,9423;54,6235
406,9065;55,4711
407,8708;55,8186
408,8350;55,6423
409,7992;55,2733
410,7635;55,0931
411,7277;55,2075
412,6919;55,383
413,6562;55,2827
414,6204;54,7522
415,5846;53,9257
416,5489;53,1685
417,5131;52,9502
418,4773;53,6047
419,4416;54,9818
420,4058;56,473
421,3700;57,6254
422,3343;58,4605
423,2985;59,2014
424,2627;59,9814
425,2270;60,7574
426,1912;61,3646
427,1554;61,6483
428,1197;61,5894
429,0839;61,3368
430,0481;61,1253
431,0124;61,1339
431,9766;61,3755
432,9408;61,6993
433,9051;61,9106
434,8693;61,9136
435,8335;61,7538
436,7978;61,5264
437,7620;61,2549
438,7262;60,8749
439,6905;60,3342
440,6547;59,6937
441,6189;59,1196
442,5832;58,7563
443,5474;58,5915
444,5116;58,4698
445,4759;58,2669
446,4401;58,0305
447,4043;57,9236
448,3686;58,0336
449,3328;58,2402
450,2970;58,2774
451,2613;57,9537
452,2255;57,3378
453,1897;56,7218
454,1540;56,3865
455,1182;56,3869
456,0824;56,5344
457,0467;56,5868
458,0109;56,4901
458,9751;56,4365
459,9394;56,6542
460,9036;57,18
461,8678;57,8671
462,8321;58,5518
463,7963;59,1738
464,7605;59,7645
465,7248;60,3496
466,6890;60,8764
467,6532;61,2408
468,6175;61,3839
469,5817;61,357
470,5459;61,2984
471,5102;61,3422
472,4744;61,5273
473,4386;61,7881
474,4029;62,0348
475,3671;62,2347
476,3313;62,4181
477,2956;62,6309
478,2598;62,8868
479,2240;63,1475
480,1883;63,3363
481,1525;63,3799
482,1167;63,2556
483,0810;63,0107
484,0452;62,729
485,0094;62,4607
485,9737;62,1799
486,9379;61,8233
487,9021;61,3744
488,8664;60,9048
489,8306;60,526
490,7948;60,2846
491,7591;60,1014
492,7233;59,8338
493,6875;59,4199
494,6518;58,9569
495,6160;58,6149
496,5802;58,4681
497,5445;58,4087
498,5087;58,2277
499,4729;57,7907
500,4372;57,1622
501,4014;56,5681
502,3656;56,2172
503,3299;56,141
504,2941;56,2086
505,2583;56,2729
506,2226;56,2738
507,1868;56,2151
508,1510;56,0859
509,1153;55,8465
510,0795;55,498
511,0437;55,1426
512,0080;54,9407
512,9722;54,9914
513,9365;55,2496
514,9007;55,5578
515,8649;55,7668
516,8292;55,8416
517,7934;55,8602
518,7576;55,9114
519,7219;56,0103
520,6861;56,1222
521,6503;56,2362
522,6146;56,3811
523,5788;56,5689
524,5430;56,7434
525,5073;56,8036
526,4715;56,6943
527,4357;56,4584
528,4000;56,1746
529,3642;55,8501
530,3284;55,4078
531,2927;54,7871
532,2569;54,0517
533,2211;53,3775
534,1854;52,9135
535,1496;52,6468
536,1138;52,422
537,0781;52,1041
538,0423;51,7135
539,0065;51,3836
539,9708;51,1836
540,9350;51,0053
541,8992;50,6513
542,8635;50,0476
543,8277;49,357
544,7919;48,8575
545,7562;48,6839
546,7204;48,6888
547,6846;48,5839
548,6489;48,2323
549,6131;47,7913
550,5773;47,5547
551,5416;47,6598
552,5058;47,9565
553,4700;48,1634
554,4343;48,1514
555,3985;48,0674
556,3627;48,1779
557,3270;48,5951
558,2912;49,1667
559,2554;49,6341
560,2197;49,8871
561,1839;50,0567
562,1481;50,3655
563,1124;50,9028
564,0766;51,5517
565,0408;52,1301
566,0051;52,5879
566,9693;53,0574
567,9335;53,7098
568,8978;54,5643
569,8620;55,4465
570,8262;56,1429
571,7905;56,5894
572,7547;56,9127
573,7189;57,3049
574,6832;57,8585
575,6474;58,4955
576,6116;59,0386
577,5759;59,3532
578,5401;59,4368
579,5043;59,3948
580,4686;59,3451
581,4328;59,3365
582,3970;59,3297
583,3613;59,2378
584,3255;58,994
585,2897;58,602
586,2540;58,1368
587,2182;57,6899
588,1824;57,2957
589,1467;56,8959
590,1109;56,3771
591,0751;55,6654
592,0394;54,7993
593,0036;53,9071
593,9678;53,0947
594,9321;52,3521
595,8963;51,573
596,8605;50,6657
597,8248;49,6456
598,7890;48,6216
599,7532;47,6887
600,7175;46,8306
601,6817;45,9371
602,6459;44,9214
603,6102;43,8158
604,5744;42,7476
605,5386;41,8238
606,5029;41,0413
607,4671;40,3084
608,4313;39,5469
609,3956;38,7639
610,3598;38,0169
611,3240;37,3133
612,2883;36,5591
613,2525;35,619
614,2167;34,4402
615,1810;33,1219
616,1452;31,8683
617,1094;30,857
618,0737;30,1341
619,0379;29,6178
620,0021;29,194
620,9664;28,804
621,9306;28,4611
622,8948;28,2115
623,8591;28,0975
624,8233;28,1515
625,7875;28,4093
626,7518;28,914
627,7160;29,7019
628,6802;30,7816
629,6445;32,1201
630,6087;33,6355
631,5729;35,1992
632,5372;36,6595
633,5014;37,8951
634,4656;38,8785
635,4299;39,694
636,3941;40,4785
637,3583;41,3161
638,3226;42,176
639,2868;42,9491
640,2510;43,5541
641,2153;44,0134
642,1795;44,4258
643,1437;44,8624
644,1080;45,2927
645,0722;45,6192
646,0364;45,7892
647,0007;45,8668
647,9649;45,9815
648,9291;46,1968
649,8934;46,4295
650,8576;46,5149
651,8218;46,3615
652,7861;46,0435
653,7503;45,7416
654,7145;45,5887
