TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;23/06/06
TIME;10:33:03
SPECTROMETER/DATA SYSTEM;
LOCALE;3082
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;TRANSMITTANCE
FIRSTX;  399,1927
LASTX; 5000,5148
NPOINTS;    4773
FIRSTY;    48,84369
MAXY;    69,35574
MINY;    -0,00000
XYDATA
399,1927;48,8437
400,1569;48,8497
401,1211;49,8653
402,0854;51,5019
403,0496;53,0225
404,0138;53,7226
404,9781;53,3144
405,9423;52,1608
406,9065;51,0993
407,8708;50,8668
408,8350;51,5881
409,7992;52,7712
410,7635;53,7674
411,7277;54,288
412,6919;54,556
413,6562;55,0027
414,6204;55,8546
415,5846;56,9671
416,5489;57,9084
417,5131;58,1693
418,4773;57,5173
419,4416;56,3708
420,4058;55,5419
421,3700;55,416
422,3343;55,776
423,2985;56,2298
424,2627;56,4739
425,2270;56,3495
426,1912;55,88
427,1554;55,2882
428,1197;54,8955
429,0839;54,9098
430,0481;55,2321
431,0124;55,4558
431,9766;55,1306
432,9408;54,146
433,9051;52,9066
434,8693;52,088
435,8335;52,1295
436,7978;52,8861
437,7620;53,7644
438,7262;54,212
439,6905;54,109
440,6547;53,7696
441,6189;53,6198
442,5832;53,8297
443,5474;54,1946
444,5116;54,3765
445,4759;54,2664
446,4401;54,0908
447,4043;54,1951
448,3686;54,7706
449,3328;55,7589
450,2970;56,9416
451,2613;58,0819
452,2255;58,9975
453,1897;59,552
454,1540;59,6436
455,1182;59,2495
456,0824;58,4945
457,0467;57,6349
458,0109;56,8925
458,9751;56,2611
459,9394;55,5503
460,9036;54,6661
461,8678;53,7933
462,8321;53,2845
463,7963;53,3805
464,7605;53,9822
465,7248;54,6651
466,6890;54,9746
467,6532;54,7691
468,6175;54,2908
469,5817;53,9225
470,5459;53,8813
471,5102;54,106
472,4744;54,4088
473,4386;54,7176
474,4029;55,1237
475,3671;55,7063
476,3313;56,3913
477,2956;57,0099
478,2598;57,4545
479,2240;57,7518
480,1883;57,9773
481,1525;58,1042
482,1167;57,9632
483,0810;57,3876
484,0452;56,4176
485,0094;55,3324
485,9737;54,4295
486,9379;53,7824
487,9021;53,2488
488,8664;52,7019
489,8306;52,219
490,7948;52,031
491,7591;52,264
492,7233;52,7269
493,6875;53,0137
494,6518;52,8669
495,6160;52,4312
496,5802;52,1356
497,5445;52,3307
498,5087;53,0106
499,4729;53,8311
500,4372;54,3905
501,4014;54,5504
502,3656;54,5248
503,3299;54,6576
504,2941;55,1153
505,2583;55,7985
506,2226;56,4942
507,1868;57,05
508,1510;57,4108
509,1153;57,5529
510,0795;57,4448
511,0437;57,0915
512,0080;56,5813
512,9722;56,0417
513,9365;55,5252
514,9007;54,9543
515,8649;54,2199
516,8292;53,3862
517,7934;52,7784
518,7576;52,7611
519,7219;53,364
520,6861;54,1845
521,6503;54,6984
522,6146;54,6619
523,5788;54,2749
524,5430;54,0142
525,5073;54,2463
526,4715;54,9074
527,4357;55,5741
528,4000;55,8845
529,3642;55,8642
530,3284;55,8572
531,2927;56,1998
532,2569;56,9554
533,2211;57,9004
534,1854;58,7294
535,1496;59,272
536,1138;59,5365
537,0781;59,599
538,0423;59,5064
539,0065;59,2948
539,9708;59,0479
540,9350;58,8681
541,8992;58,759
542,8635;58,5613
543,8277;58,0643
544,7919;57,2316
545,7562;56,3209
546,7204;55,7267
547,6846;55,6418
548,6489;55,8572
549,6131;55,9254
550,5773;55,5606
551,5416;54,9019
552,5058;54,397
553,4700;54,4159
554,4343;54,9452
555,3985;55,6271
556,3627;56,0895
557,3270;56,2542
558,2912;56,351
559,2554;56,6593
560,2197;57,2475
561,1839;57,9375
562,1481;58,4817
563,1124;58,7509
564,0766;58,7721
565,0408;58,6362
566,0051;58,4111
566,9693;58,1431
567,9335;57,8932
568,8978;57,7115
569,8620;57,553
570,8262;57,2573
571,7905;56,6686
572,7547;55,8085
573,7189;54,9259
574,6832;54,3359
575,6474;54,1531
576,6116;54,161
577,5759;53,9802
578,5401;53,4127
579,5043;52,6374
580,4686;52,0641
581,4328;51,9765
582,3970;52,2869
583,3613;52,6223
584,3255;52,6637
585,2897;52,4227
586,2540;52,2064
587,2182;52,3211
588,1824;52,8011
589,1467;53,3858
590,1109;53,7301
591,0751;53,6485
592,0394;53,1998
593,0036;52,5742
593,9678;51,9194
594,9321;51,2675
595,8963;50,5845
596,8605;49,8341
597,8248;48,9828
598,7890;47,9763
599,7532;46,762
600,7175;45,3658
601,6817;43,9334
602,6459;42,6582
603,6102;41,6308
604,5744;40,7502
605,5386;39,7952
606,5029;38,6113
607,4671;37,2536
608,4313;35,9513
609,3956;34,9162
610,3598;34,1609
611,3240;33,4849
612,2883;32,6316
613,2525;31,4731
614,2167;30,0743
615,1810;28,6082
616,1452;27,2187
617,1094;25,9446
618,0737;24,7496
619,0379;23,6007
620,0021;22,5097
620,9664;21,5161
621,9306;20,6554
622,8948;19,9568
623,8591;19,4599
624,8233;19,2127
625,7875;19,2415
626,7518;19,5241
627,7160;20,0078
628,6802;20,6596
629,6445;21,4909
630,6087;22,5189
631,5729;23,6935
632,5372;24,8683
633,5014;25,8676
634,4656;26,6121
635,4299;27,1921
636,3941;27,8043
637,3583;28,5902
638,3226;29,5153
639,2868;30,4008
640,2510;31,083
641,2153;31,5629
642,1795;32,0142
643,1437;32,6386
644,1080;33,4934
645,0722;34,4411
646,0364;35,2597
647,0007;35,8139
647,9649;36,1472
648,9291;36,4262
649,8934;36,7944
650,8576;37,2638
651,8218;37,7217
652,7861;38,0243
653,7503;38,0879
654,7145;37,9246
